Cliente,Descripción del Producto,Precio por pieza,Numero de piezas,Diección del vendedor,Nombre del Vendedor
Mario,Banco,880,1,"Merida, Yuc",Montse
Jorge,Banco,880,2,"Merida, Yuc",Montse
Enrique,Mesa,1099,1,"Tizimin, Yuc",Joel
Alejandro,Mesa,1099,4,"Tizimin, Yuc",Joel
Jorge,Mesa,1099,1,"Tizimin, Yuc",Joel
Mario,Silla,790,2,"Merida, Yuc",Montse
Alejandro,Silla,790,3,"Merida, Yuc",Montse
Enrique,Banco,880,1,"Merida, Yuc",Montse
Jorge,Mesa,1099,4,"Tizimin, Yuc",Joel
Mario,Silla,790,2,"Merida, Yuc",Montse
Mario,Banco,880,3,"Merida, Yuc",Montse
Alejandro,Banco,880,1,"Tizimin, Yuc",Joel
Alejandro,Silla,790,2,"Tizimin, Yuc",Joel
Enrique,Mesa,1099,3,"Tizimin, Yuc",Joel
Jorge,Silla,790,4,"Merida, Yuc",Montse
